c:\users\fury\desktop\2017006144\a1.vms
C 1s/7
	Characteristic Energy eV	1486.69	Acquisition Time s	0.3
KE_C 1s/7	BE_C 1s/7	CPS_C 1s/7	C 1s_1_C 1s/7	C 1s_2_C 1s/7	C 1s_3_C 1s/7	C 1s_4_C 1s/7	C 1s_5_C 1s/7	Background_C 1s/7	Envelope_C 1s/7
1188.59	298.096	1326.67	1326.67	1326.67	1326.67	1326.67	1326.67	1326.67	1326.67
1188.64	298.046	1253.33	1253.33	1253.33	1253.33	1253.33	1253.33	1253.33	1253.33
1188.69	297.996	1263.33	1263.33	1263.33	1263.33	1263.33	1263.33	1263.33	1263.33
1188.74	297.946	1273.33	1273.33	1273.33	1273.33	1273.33	1273.33	1273.33	1273.33
1188.79	297.896	1293.33	1293.33	1293.33	1293.33	1293.33	1293.33	1293.33	1293.33
1188.84	297.846	1343.33	1343.33	1343.33	1343.33	1343.33	1343.33	1343.33	1343.33
1188.89	297.796	1233.33	1233.33	1233.33	1233.33	1233.33	1233.33	1233.33	1233.33
1188.94	297.746	1203.33	1203.33	1203.33	1203.33	1203.33	1203.33	1203.33	1203.33
1188.99	297.696	1320	1320	1320	1320	1320	1320	1320	1320
1189.04	297.646	1363.33	1363.33	1363.33	1363.33	1363.33	1363.33	1363.33	1363.33
1189.09	297.596	1156.67	1156.67	1156.67	1156.67	1156.67	1156.67	1156.67	1156.67
1189.14	297.546	1216.67	1216.67	1216.67	1216.67	1216.67	1216.67	1216.67	1216.67
1189.19	297.496	1223.33	1223.33	1223.33	1223.33	1223.33	1223.33	1223.33	1223.33
1189.24	297.446	1280	1280	1280	1280	1280	1280	1280	1280
1189.29	297.396	1193.33	1193.33	1193.33	1193.33	1193.33	1193.33	1193.33	1193.33
1189.34	297.346	1283.33	1283.33	1283.33	1283.33	1283.33	1283.33	1283.33	1283.33
1189.39	297.296	1263.33	1263.33	1263.33	1263.33	1263.33	1263.33	1263.33	1263.33
1189.44	297.246	1216.67	1216.67	1216.67	1216.67	1216.67	1216.67	1216.67	1216.67
1189.49	297.196	1326.67	1326.67	1326.67	1326.67	1326.67	1326.67	1326.67	1326.67
1189.54	297.146	1263.33	1263.33	1263.33	1263.33	1263.33	1263.33	1263.33	1263.33
1189.59	297.096	1236.67	1236.67	1236.67	1236.67	1236.67	1236.67	1236.67	1236.67
1189.64	297.046	1200	1200	1200	1200	1200	1200	1200	1200
1189.69	296.996	1163.33	1163.33	1163.33	1163.33	1163.33	1163.33	1163.33	1163.33
1189.74	296.946	1190	1190	1190	1190	1190	1190	1190	1190
1189.79	296.896	1143.33	1143.33	1143.33	1143.33	1143.33	1143.33	1143.33	1143.33
1189.84	296.846	1143.33	1143.33	1143.33	1143.33	1143.33	1143.33	1143.33	1143.33
1189.89	296.796	1173.33	1173.33	1173.33	1173.33	1173.33	1173.33	1173.33	1173.33
1189.94	296.746	1213.33	1213.33	1213.33	1213.33	1213.33	1213.33	1213.33	1213.33
1189.99	296.696	1133.33	1133.33	1133.33	1133.33	1133.33	1133.33	1133.33	1133.33
1190.04	296.646	1120	1120	1120	1120	1120	1120	1120	1120
1190.09	296.596	1123.33	1123.33	1123.33	1123.33	1123.33	1123.33	1123.33	1123.33
1190.14	296.546	1143.33	1143.33	1143.33	1143.33	1143.33	1143.33	1143.33	1143.33
1190.19	296.496	1260	1260	1260	1260	1260	1260	1260	1260
1190.24	296.446	1260	1260	1260	1260	1260	1260	1260	1260
1190.29	296.396	1196.67	1196.67	1196.67	1196.67	1196.67	1196.67	1196.67	1196.67
1190.34	296.346	1146.67	1146.67	1146.67	1146.67	1146.67	1146.67	1146.67	1146.67
1190.39	296.296	1150	1150	1150	1150	1150	1150	1150	1150
1190.44	296.246	1033.33	1033.33	1033.33	1033.33	1033.33	1033.33	1033.33	1033.33
1190.49	296.196	996.667	996.667	996.667	996.667	996.667	996.667	996.667	996.667
1190.54	296.146	1190	1190	1190	1190	1190	1190	1190	1190
1190.59	296.096	1166.67	1166.67	1166.67	1166.67	1166.67	1166.67	1166.67	1166.67
1190.64	296.046	1116.67	1116.67	1116.67	1116.67	1116.67	1116.67	1116.67	1116.67
1190.69	295.996	1130	1130	1130	1130	1130	1130	1130	1130
1190.74	295.946	1170	1170	1170	1170	1170	1170	1170	1170
1190.79	295.896	1156.67	1156.67	1156.67	1156.67	1156.67	1156.67	1156.67	1156.67
1190.84	295.846	1173.33	1173.33	1173.33	1173.33	1173.33	1173.33	1173.33	1173.33
1190.89	295.796	1096.67	1096.67	1096.67	1096.67	1096.67	1096.67	1096.67	1096.67
1190.94	295.746	1263.33	1263.33	1263.33	1263.33	1263.34	1263.33	1263.33	1263.34
1190.99	295.696	1156.67	1156.67	1156.67	1156.67	1156.67	1156.67	1156.67	1156.67
1191.04	295.646	1033.33	1033.33	1033.33	1033.33	1033.34	1033.33	1033.33	1033.34
1191.09	295.596	1216.67	1216.67	1216.67	1216.67	1216.67	1216.67	1216.67	1216.67
1191.14	295.546	1136.67	1136.67	1136.67	1136.67	1136.67	1136.67	1136.67	1136.67
1191.19	295.496	1143.33	1143.33	1143.33	1143.33	1143.34	1143.33	1143.33	1143.34
1191.24	295.446	1093.33	1093.33	1093.33	1093.33	1093.34	1093.33	1093.33	1093.34
1191.29	295.396	1026.67	1026.67	1026.67	1026.67	1026.68	1026.67	1026.67	1026.68
1191.34	295.346	1120	1120	1120	1120	1120.02	1120	1120	1120.02
1191.39	295.296	1030	1030	1030	1030	1030.02	1030	1030	1030.02
1191.44	295.246	1043.33	1043.33	1043.33	1043.33	1043.36	1043.33	1043.33	1043.36
1191.49	295.196	1100	1100	1100	1100	1100.03	1100	1100	1100.03
1191.54	295.146	1046.67	1046.67	1046.67	1046.67	1046.7	1046.67	1046.67	1046.7
1191.59	295.096	1000	1000	1000	1000	1000.05	1000	1000	1000.05
1191.64	295.046	1066.67	1066.67	1066.67	1066.67	1066.72	1066.67	1066.67	1066.72
1191.69	294.996	1146.67	1146.67	1146.67	1146.67	1146.74	1146.67	1146.67	1146.74
1191.74	294.946	1036.67	1036.67	1036.67	1036.67	1036.75	1036.67	1036.67	1036.75
1191.79	294.896	1056.67	1056.67	1056.67	1056.67	1056.77	1056.67	1056.67	1056.77
1191.84	294.846	1073.33	1073.33	1073.33	1073.33	1073.46	1073.33	1073.33	1073.46
1191.89	294.796	1036.67	1036.67	1036.67	1036.67	1036.82	1036.67	1036.67	1036.82
1191.94	294.746	1120	1120	1120	1120	1120.19	1120	1120	1120.19
1191.99	294.696	1143.33	1143.33	1143.33	1143.33	1143.57	1143.33	1143.33	1143.57
1192.04	294.646	1053.33	1053.33	1053.33	1053.33	1053.61	1053.33	1053.33	1053.61
1192.09	294.596	1013.33	1013.33	1013.33	1013.33	1013.67	1013.33	1013.33	1013.67
1192.14	294.546	1126.67	1126.67	1126.67	1126.67	1127.08	1126.67	1126.67	1127.08
1192.19	294.496	1020	1020	1020	1020	1020.5	1020	1020	1020.5
1192.24	294.446	1060	1060	1060	1060	1060.6	1060	1060	1060.6
1192.29	294.396	976.667	976.667	976.667	976.667	977.386	976.667	976.667	977.386
1192.34	294.346	1063.33	1063.33	1063.33	1063.33	1064.2	1063.33	1063.33	1064.2
1192.39	294.296	950	950	950	950	951.032	950	950	951.032
1192.44	294.246	963.333	963.333	963.333	963.333	964.566	963.333	963.333	964.566
1192.49	294.196	1066.67	1042.2	1042.2	1042.2	1043.67	1042.2	1042.2	1043.67
1192.54	294.146	1096.67	1042.16	1042.16	1042.16	1043.9	1042.16	1042.16	1043.9
1192.59	294.096	970	1042.1	1042.1	1042.1	1044.17	1042.1	1042.1	1044.17
1192.64	294.046	1000	1042.06	1042.06	1042.06	1044.52	1042.06	1042.06	1044.52
1192.69	293.996	1073.33	1042.04	1042.04	1042.04	1044.94	1042.04	1042.04	1044.94
1192.74	293.946	1030	1042.03	1042.03	1042.03	1045.46	1042.03	1042.03	1045.46
1192.79	293.896	1046.67	1042.03	1042.03	1042.03	1046.06	1042.03	1042.03	1046.06
1192.84	293.846	976.667	1041.97	1041.97	1041.97	1046.71	1041.97	1041.97	1046.71
1192.89	293.796	1020	1041.95	1041.95	1041.95	1047.51	1041.95	1041.95	1047.51
1192.94	293.746	986.667	1041.91	1041.91	1041.91	1048.41	1041.91	1041.91	1048.41
1192.99	293.696	1050	1041.9	1041.9	1041.9	1049.5	1041.9	1041.9	1049.5
1193.04	293.646	983.333	1041.85	1041.85	1041.85	1050.7	1041.85	1041.85	1050.7
1193.09	293.596	1056.67	1041.84	1041.84	1041.84	1052.13	1041.84	1041.84	1052.13
1193.14	293.546	1040	1041.84	1041.84	1041.84	1053.77	1041.84	1041.84	1053.77
1193.19	293.496	1013.33	1041.82	1041.82	1041.82	1055.63	1041.82	1041.82	1055.63
1193.24	293.446	1066.67	1041.8	1041.8	1041.8	1057.75	1041.8	1041.8	1057.75
1193.29	293.396	1150	1041.71	1041.71	1041.71	1060.1	1041.71	1041.71	1060.1
1193.34	293.346	1190	1041.59	1041.59	1041.59	1062.74	1041.59	1041.59	1062.74
1193.39	293.296	1130	1041.51	1041.51	1041.51	1065.8	1041.51	1041.51	1065.8
1193.44	293.246	963.333	1041.45	1041.45	1041.45	1069.26	1041.45	1041.45	1069.26
1193.49	293.196	1056.67	1041.44	1041.44	1041.44	1073.22	1041.44	1041.44	1073.22
1193.54	293.146	1090	1041.4	1041.4	1041.4	1077.64	1041.4	1041.4	1077.65
1193.59	293.096	1096.67	1041.35	1041.35	1041.35	1082.6	1041.35	1041.35	1082.6
1193.64	293.046	1100	1041.31	1041.31	1041.31	1088.14	1041.31	1041.31	1088.14
1193.69	292.996	1103.33	1041.25	1041.26	1041.25	1094.32	1041.25	1041.25	1094.32
1193.74	292.946	1146.67	1041.17	1041.17	1041.17	1101.16	1041.17	1041.17	1101.16
1193.79	292.896	1126.67	1041.1	1041.1	1041.1	1108.77	1041.1	1041.1	1108.78
1193.84	292.846	1156.67	1041	1041.01	1041	1117.18	1041	1041	1117.18
1193.89	292.796	1100	1040.96	1040.96	1040.96	1126.51	1040.96	1040.96	1126.51
1193.94	292.746	1180	1040.84	1040.85	1040.84	1136.71	1040.84	1040.84	1136.72
1193.99	292.696	1146.67	1040.76	1040.76	1040.76	1147.97	1040.76	1040.76	1147.97
1194.04	292.646	1096.67	1040.71	1040.72	1040.71	1160.36	1040.71	1040.71	1160.36
1194.09	292.596	1090	1040.67	1040.68	1040.67	1173.88	1040.67	1040.67	1173.89
