B.E.	wide/2:CPS		B.E.	F 1s/5:CPS		B.E.	O 1s/6:CPS		B.E.	C 1s/7:CPS		
1.101309e+003	1.552000e+004		6.973590e+002	3.546667e+003		5.413090e+002	2.095556e+003		2.978090e+002	1.003333e+003		
1.100309e+003	1.525000e+004		6.973090e+002	3.550000e+003		5.412590e+002	1.862222e+003		2.977590e+002	9.766667e+002		
1.099309e+003	1.510000e+004		6.972590e+002	3.450000e+003		5.412090e+002	1.913333e+003		2.977090e+002	8.933333e+002		
1.098309e+003	1.521000e+004		6.972090e+002	3.436667e+003		5.411590e+002	1.942222e+003		2.976590e+002	8.966667e+002		
1.097309e+003	1.529000e+004		6.971590e+002	3.390000e+003		5.411090e+002	2.008889e+003		2.976090e+002	8.666667e+002		
1.096309e+003	1.499000e+004		6.971090e+002	3.546667e+003		5.410590e+002	1.897778e+003		2.975590e+002	8.200000e+002		
1.095309e+003	1.449000e+004		6.970590e+002	3.400000e+003		5.410090e+002	2.013333e+003		2.975090e+002	8.233333e+002		
1.094309e+003	1.532000e+004		6.970090e+002	3.460000e+003		5.409590e+002	1.973333e+003		2.974590e+002	8.600000e+002		
1.093309e+003	1.477000e+004		6.969590e+002	3.583333e+003		5.409090e+002	2.055556e+003		2.974090e+002	9.633333e+002		
1.092309e+003	1.485000e+004		6.969090e+002	3.350000e+003		5.408590e+002	2.062222e+003		2.973590e+002	9.100000e+002		
1.091309e+003	1.550000e+004		6.968590e+002	3.490000e+003		5.408090e+002	2.024444e+003		2.973090e+002	9.433333e+002		
1.090309e+003	1.543000e+004		6.968090e+002	3.480000e+003		5.407590e+002	2.040000e+003		2.972590e+002	8.933333e+002		
1.089309e+003	1.520000e+004		6.967590e+002	3.463333e+003		5.407090e+002	1.984444e+003		2.972090e+002	8.800000e+002		
1.088309e+003	1.590000e+004		6.967090e+002	3.510000e+003		5.406590e+002	2.017778e+003		2.971590e+002	9.400000e+002		
1.087309e+003	1.531000e+004		6.966590e+002	3.540000e+003		5.406090e+002	1.982222e+003		2.971090e+002	8.233333e+002		
1.086309e+003	1.499000e+004		6.966090e+002	3.360000e+003		5.405590e+002	1.948889e+003		2.970590e+002	9.333333e+002		
1.085309e+003	1.535000e+004		6.965590e+002	3.343333e+003		5.405090e+002	1.951111e+003		2.970090e+002	8.800000e+002		
1.084309e+003	1.486000e+004		6.965090e+002	3.366667e+003		5.404590e+002	1.922222e+003		2.969590e+002	8.333333e+002		
1.083309e+003	1.469000e+004		6.964590e+002	3.543333e+003		5.404090e+002	1.846667e+003		2.969090e+002	9.100000e+002		
