B.E.	wide/2:CPS		B.E.	F 1s/5:CPS		B.E.	O 1s/6:CPS		B.E.	C 1s/7:CPS		
1.101878e+003	2.536000e+004		6.979280e+002	4.510000e+003		5.418780e+002	2.715556e+003		2.983780e+002	1.650000e+003		
1.100878e+003	2.581000e+004		6.978780e+002	4.613333e+003		5.418280e+002	2.762222e+003		2.983280e+002	1.556667e+003		
1.099878e+003	2.592000e+004		6.978280e+002	4.526667e+003		5.417780e+002	2.668889e+003		2.982780e+002	1.706667e+003		
1.098878e+003	2.596000e+004		6.977780e+002	4.456667e+003		5.417280e+002	2.668889e+003		2.982280e+002	1.583333e+003		
1.097878e+003	2.486000e+004		6.977280e+002	4.403333e+003		5.416780e+002	2.666667e+003		2.981780e+002	1.606667e+003		
1.096878e+003	2.588000e+004		6.976780e+002	4.076667e+003		5.416280e+002	2.748889e+003		2.981280e+002	1.546667e+003		
1.095878e+003	2.541000e+004		6.976280e+002	4.276667e+003		5.415780e+002	2.706667e+003		2.980780e+002	1.596667e+003		
1.094878e+003	2.564000e+004		6.975780e+002	4.233333e+003		5.415280e+002	2.682222e+003		2.980280e+002	1.486667e+003		
1.093878e+003	2.559000e+004		6.975280e+002	4.280000e+003		5.414780e+002	2.708889e+003		2.979780e+002	1.500000e+003		
1.092878e+003	2.644000e+004		6.974780e+002	4.160000e+003		5.414280e+002	2.722222e+003		2.979280e+002	1.596667e+003		
1.091878e+003	2.627000e+004		6.974280e+002	4.176667e+003		5.413780e+002	2.848889e+003		2.978780e+002	1.543333e+003		
1.090878e+003	2.590000e+004		6.973780e+002	4.066667e+003		5.413280e+002	2.586667e+003		2.978280e+002	1.490000e+003		
1.089878e+003	2.564000e+004		6.973280e+002	4.123333e+003		5.412780e+002	2.688889e+003		2.977780e+002	1.493333e+003		
1.088878e+003	2.601000e+004		6.972780e+002	4.050000e+003		5.412280e+002	2.802222e+003		2.977280e+002	1.603333e+003		
1.087878e+003	2.554000e+004		6.972280e+002	4.143333e+003		5.411780e+002	2.704444e+003		2.976780e+002	1.496667e+003		
1.086878e+003	2.623000e+004		6.971780e+002	4.076667e+003		5.411280e+002	2.777778e+003		2.976280e+002	1.520000e+003		
1.085878e+003	2.539000e+004		6.971280e+002	4.066667e+003		5.410780e+002	2.757778e+003		2.975780e+002	1.490000e+003		
1.084878e+003	2.567000e+004		6.970780e+002	4.163333e+003		5.410280e+002	2.733333e+003		2.975280e+002	1.596667e+003		
1.083878e+003	2.500000e+004		6.970280e+002	3.946667e+003		5.409780e+002	2.617778e+003		2.974780e+002	1.380000e+003		
1.082878e+003	2.482000e+004		6.969780e+002	4.033333e+003		5.409280e+002	2.660000e+003		2.974280e+002	1.446667e+003		
1.081878e+003	2.558000e+004		6.969280e+002	4.060000e+003		5.408780e+002	2.608889e+003		2.973780e+002	1.456667e+003		
1.080878e+003	2.487000e+004		6.968780e+002	4.036667e+003		5.408280e+002	2.786667e+003		2.973280e+002	1.443333e+003		
1.079878e+003	2.504000e+004		6.968280e+002	4.076667e+003		5.407780e+002	2.700000e+003		2.972780e+002	1.430000e+003		
1.078878e+003	2.467000e+004		6.967780e+002	3.940000e+003		5.407280e+002	2.728889e+003		2.972280e+002	1.393333e+003		
1.077878e+003	2.538000e+004		6.967280e+002	3.893333e+003		5.406780e+002	2.644444e+003		2.971780e+002	1.510000e+003		
1.076878e+003	2.583000e+004		6.966780e+002	3.993333e+003		5.406280e+002	2.751111e+003		2.971280e+002	1.406667e+003		
1.075878e+003	2.556000e+004		6.966280e+002	4.040000e+003		5.405780e+002	2.700000e+003		2.970780e+002	1.276667e+003		
1.074878e+003	2.505000e+004		6.965780e+002	4.033333e+003		5.405280e+002	2.711111e+003		2.970280e+002	1.490000e+003		
1.073878e+003	2.504000e+004		6.965280e+002	3.906667e+003		5.404780e+002	2.666667e+003		2.969780e+002	1.426667e+003		
1.072878e+003	2.636000e+004		6.964780e+002	3.860000e+003		5.404280e+002	2.620000e+003		2.969280e+002	1.370000e+003		
1.071878e+003	2.570000e+004		6.964280e+002	3.873333e+003		5.403780e+002	2.720000e+003		2.968780e+002	1.336667e+003		
1.070878e+003	2.605000e+004		6.963780e+002	3.836667e+003		5.403280e+002	2.851111e+003		2.968280e+002	1.413333e+003		
1.069878e+003	2.610000e+004		6.963280e+002	3.966667e+003		5.402780e+002	2.808889e+003		2.967780e+002	1.366667e+003		
1.068878e+003	2.490000e+004		6.962780e+002	3.870000e+003		5.402280e+002	2.624444e+003		2.967280e+002	1.313333e+003		
1.067878e+003	2.509000e+004		6.962280e+002	3.763333e+003		5.401780e+002	2.588889e+003		2.966780e+002	1.260000e+003		
1.066878e+003	2.553000e+004		6.961780e+002	3.970000e+003		5.401280e+002	2.551111e+003		2.966280e+002	1.336667e+003		
1.065878e+003	2.615000e+004		6.961280e+002	3.826667e+003		5.400780e+002	2.593333e+003		2.965780e+002	1.346667e+003		
1.064878e+003	2.646000e+004		6.960780e+002	3.816667e+003		5.400280e+002	2.520000e+003		2.965280e+002	1.440000e+003		
1.063878e+003	2.685000e+004		6.960280e+002	3.886667e+003		5.399780e+002	2.582222e+003		2.964780e+002	1.456667e+003		
1.062878e+003	2.626000e+004		6.959780e+002	3.950000e+003		5.399280e+002	2.600000e+003		2.964280e+002	1.370000e+003		
1.061878e+003	2.615000e+004		6.959280e+002	3.956667e+003		5.398780e+002	2.720000e+003		2.963780e+002	1.350000e+003		
1.060878e+003	2.605000e+004		6.958780e+002	3.786667e+003		5.398280e+002	2.655556e+003		2.963280e+002	1.313333e+003		
1.059878e+003	2.687000e+004		6.958280e+002	3.876667e+003		5.397780e+002	2.544444e+003		2.962780e+002	1.310000e+003		
1.058878e+003	2.638000e+004		6.957780e+002	3.866667e+003		5.397280e+002	2.617778e+003		2.962280e+002	1.293333e+003		
