B.E.	wide/2:CPS		B.E.	F 1s/5:CPS		B.E.	O 1s/6:CPS		B.E.	C 1s/7:CPS		
1.102122e+003	2.857000e+004		6.981720e+002	4.253333e+003		5.421220e+002	2.444444e+003		2.986220e+002	1.483333e+003		
1.101122e+003	2.809000e+004		6.981220e+002	4.290000e+003		5.420720e+002	2.428889e+003		2.985720e+002	1.576667e+003		
1.100122e+003	2.808000e+004		6.980720e+002	4.090000e+003		5.420220e+002	2.531111e+003		2.985220e+002	1.410000e+003		
1.099122e+003	2.753000e+004		6.980220e+002	4.173333e+003		5.419720e+002	2.391111e+003		2.984720e+002	1.453333e+003		
1.098122e+003	2.751000e+004		6.979720e+002	4.003333e+003		5.419220e+002	2.535556e+003		2.984220e+002	1.373333e+003		
1.097122e+003	2.779000e+004		6.979220e+002	4.160000e+003		5.418720e+002	2.526667e+003		2.983720e+002	1.436667e+003		
1.096122e+003	2.788000e+004		6.978720e+002	4.106667e+003		5.418220e+002	2.560000e+003		2.983220e+002	1.473333e+003		
1.095122e+003	2.790000e+004		6.978220e+002	3.923333e+003		5.417720e+002	2.480000e+003		2.982720e+002	1.416667e+003		
1.094122e+003	2.763000e+004		6.977720e+002	4.116667e+003		5.417220e+002	2.506667e+003		2.982220e+002	1.530000e+003		
1.093122e+003	2.807000e+004		6.977220e+002	4.006667e+003		5.416720e+002	2.560000e+003		2.981720e+002	1.416667e+003		
1.092122e+003	2.838000e+004		6.976720e+002	4.043333e+003		5.416220e+002	2.435556e+003		2.981220e+002	1.430000e+003		
1.091122e+003	2.759000e+004		6.976220e+002	3.906667e+003		5.415720e+002	2.468889e+003		2.980720e+002	1.426667e+003		
1.090122e+003	2.773000e+004		6.975720e+002	3.956667e+003		5.415220e+002	2.528889e+003		2.980220e+002	1.296667e+003		
1.089122e+003	2.810000e+004		6.975220e+002	3.970000e+003		5.414720e+002	2.544444e+003		2.979720e+002	1.396667e+003		
1.088122e+003	2.768000e+004		6.974720e+002	4.050000e+003		5.414220e+002	2.455556e+003		2.979220e+002	1.446667e+003		
1.087122e+003	2.782000e+004		6.974220e+002	3.756667e+003		5.413720e+002	2.460000e+003		2.978720e+002	1.303333e+003		
1.086122e+003	2.816000e+004		6.973720e+002	3.843333e+003		5.413220e+002	2.515556e+003		2.978220e+002	1.440000e+003		
1.085122e+003	2.779000e+004		6.973220e+002	3.706667e+003		5.412720e+002	2.333333e+003		2.977720e+002	1.406667e+003		
1.084122e+003	2.855000e+004		6.972720e+002	3.696667e+003		5.412220e+002	2.560000e+003		2.977220e+002	1.323333e+003		
1.083122e+003	2.746000e+004		6.972220e+002	3.720000e+003		5.411720e+002	2.528889e+003		2.976720e+002	1.326667e+003		
