B.E.	wide/2:CPS		B.E.	O 1s/5:CPS		B.E.	C 1s/6:CPS		
1.101200e+003	1.342000e+004		5.412000e+002	2.310000e+003		2.977000e+002	1.060000e+003		
1.100200e+003	1.302000e+004		5.411500e+002	2.373333e+003		2.976500e+002	1.236667e+003		
1.099200e+003	1.328000e+004		5.411000e+002	2.430000e+003		2.976000e+002	1.260000e+003		
1.098200e+003	1.344000e+004		5.410500e+002	2.420000e+003		2.975500e+002	1.330000e+003		
1.097200e+003	1.292000e+004		5.410000e+002	2.320000e+003		2.975000e+002	1.293333e+003		
1.096200e+003	1.304000e+004		5.409500e+002	2.430000e+003		2.974500e+002	1.226667e+003		
1.095200e+003	1.368000e+004		5.409000e+002	2.383333e+003		2.974000e+002	1.183333e+003		
1.094200e+003	1.312000e+004		5.408500e+002	2.300000e+003		2.973500e+002	1.280000e+003		
1.093200e+003	1.302000e+004		5.408000e+002	2.326667e+003		2.973000e+002	1.126667e+003		
1.092200e+003	1.302000e+004		5.407500e+002	2.340000e+003		2.972500e+002	1.183333e+003		
1.091200e+003	1.347000e+004		5.407000e+002	2.160000e+003		2.972000e+002	1.156667e+003		
1.090200e+003	1.409000e+004		5.406500e+002	2.370000e+003		2.971500e+002	1.223333e+003		
1.089200e+003	1.388000e+004		5.406000e+002	2.403333e+003		2.971000e+002	1.193333e+003		
1.088200e+003	1.314000e+004		5.405500e+002	2.316667e+003		2.970500e+002	1.200000e+003		
1.087200e+003	1.348000e+004		5.405000e+002	2.253333e+003		2.970000e+002	1.120000e+003		
1.086200e+003	1.317000e+004		5.404500e+002	2.363333e+003		2.969500e+002	1.163333e+003		
1.085200e+003	1.331000e+004		5.404000e+002	2.373333e+003		2.969000e+002	1.163333e+003		
1.084200e+003	1.382000e+004		5.403500e+002	2.170000e+003		2.968500e+002	1.156667e+003		
1.083200e+003	1.382000e+004		5.403000e+002	2.123333e+003		2.968000e+002	1.166667e+003		
